"device_id","datetime","CO","status1","CO2","status2","NOx","status3","O3","status4","PM2_5","status5","AQHI","status6","NO2","status7","NO","status8"
"30005","2018-02-01 12:27:29","231.086",NULL,NULL,NULL,NULL,NULL,"37.5766",NULL,"22.76",NULL,NULL,NULL,"0.164194",NULL,"9.55134",NULL
"30005","2018-02-01 12:31:29","235.408",NULL,NULL,NULL,NULL,NULL,"38.3761",NULL,"22.7",NULL,NULL,NULL,"-0.528304",NULL,"9.8183",NULL
"30005","2018-02-01 12:34:29","239.35",NULL,NULL,NULL,NULL,NULL,"37.9724",NULL,"24.06",NULL,NULL,NULL,"-0.283059",NULL,"9.77557",NULL
"30005","2018-02-01 12:38:29","234.037",NULL,NULL,NULL,NULL,NULL,"37.995",NULL,"25.96",NULL,NULL,NULL,"-0.121715",NULL,"9.99361",NULL
"30005","2018-02-01 12:40:29","238.736",NULL,NULL,NULL,NULL,NULL,"38.5382",NULL,"23.39",NULL,NULL,NULL,"-0.273599",NULL,"9.63589",NULL
"30005","2018-02-01 12:44:29","257.549",NULL,NULL,NULL,NULL,NULL,"37.8825",NULL,"22.15",NULL,NULL,NULL,"0.48898",NULL,"9.83522",NULL
"30005","2018-02-02 03:17:34","709.023",NULL,NULL,NULL,NULL,NULL,"16.9948",NULL,"26.62",NULL,NULL,NULL,"21.7862",NULL,"35.8525",NULL
"30005","2018-02-02 03:18:33","256.024",NULL,NULL,NULL,NULL,NULL,"14.9434",NULL,"25.82",NULL,NULL,NULL,"15.4341",NULL,"10.2451",NULL
"30005","2018-02-02 03:19:34","234.767",NULL,NULL,NULL,NULL,NULL,"16.1072",NULL,"20.15",NULL,NULL,NULL,"13.6043",NULL,"9.71598",NULL
"30005","2018-02-02 03:21:33","228.206",NULL,NULL,NULL,NULL,NULL,"18.2325",NULL,"12.08",NULL,NULL,NULL,"11.79",NULL,"10.0759",NULL
"30005","2018-02-02 03:22:33","234.5",NULL,NULL,NULL,NULL,NULL,"19.1491",NULL,"11.38",NULL,NULL,NULL,"11.2726",NULL,"10.2567",NULL
"30005","2018-02-02 03:28:33","272.623",NULL,NULL,NULL,NULL,NULL,"22.9709",NULL,"4.5",NULL,NULL,NULL,"8.68276",NULL,"10.6462",NULL
"30005","2018-02-02 03:35:33","301.713",NULL,NULL,NULL,NULL,NULL,"26.3804",NULL,"3.97",NULL,NULL,NULL,"7.06804",NULL,"11.0331",NULL
"30005","2018-02-02 03:43:33","318.238",NULL,NULL,NULL,NULL,NULL,"29.1452",NULL,"3.18",NULL,NULL,NULL,"5.55108",NULL,"11.513",NULL
"30005","2018-02-02 03:45:33","321.538",NULL,NULL,NULL,NULL,NULL,"29.7313",NULL,"2.98",NULL,NULL,NULL,"5.20234",NULL,"11.5459",NULL
"30005","2018-02-02 03:46:33","322.377",NULL,NULL,NULL,NULL,NULL,"29.951",NULL,"2.15",NULL,NULL,NULL,"5.12834",NULL,"11.5212",NULL
"30005","2018-02-02 03:48:33","320.127",NULL,NULL,NULL,NULL,NULL,"30.6639",NULL,"3.6",NULL,NULL,NULL,"4.77906",NULL,"11.6928",NULL
"30005","2018-02-02 03:50:34","321.419",NULL,NULL,NULL,NULL,NULL,"30.9908",NULL,"1.55",NULL,NULL,NULL,"4.53577",NULL,"11.7202",NULL
"30005","2018-02-02 03:53:33","313.175",NULL,NULL,NULL,NULL,NULL,"31.5588",NULL,"2.39",NULL,NULL,NULL,"3.96027",NULL,"11.8022",NULL
"30005","2018-02-02 03:55:37","306.714",NULL,NULL,NULL,NULL,NULL,"31.8681",NULL,"2.46",NULL,NULL,NULL,"3.65125",NULL,"12.0363",NULL
